epoch,step,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
42,257,,,,158766.59375,274.6940612792969
42,257,125805.6484375,240.19082641601562,,,
43,259,,,312.5249938964844,,
43,263,,,,138121.46875,258.0554504394531
43,263,135992.125,249.67160034179688,,,
44,264,,,274.45697021484375,,
44,269,,,218.9226837158203,,
44,269,,,,139376.15625,259.4495849609375
44,269,139137.96875,254.2637939453125,,,
45,274,,,197.7651824951172,,
45,275,,,,122969.9296875,265.21099853515625
45,275,119322.3515625,225.92247009277344,,,
46,279,,,229.29611206054688,,
46,281,,,,111536.375,243.20831298828125
46,281,134560.3125,247.60263061523438,,,
47,284,,,248.1458282470703,,
47,287,,,,116608.296875,242.4099578857422
47,287,123279.359375,242.70887756347656,,,
48,289,,,278.391845703125,,
48,293,,,,111242.65625,238.71507263183594
48,293,141625.59375,247.8694610595703,,,
49,294,,,206.89979553222656,,
49,299,,,215.386474609375,,
49,299,,,,111466.546875,239.94442749023438
49,299,127698.3671875,244.29495239257812,,,
